gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
system,1,1,　,"Well, if it isn't Van! Pleasure doing business with you again.","Well, if it isn't Van! Pleasure doing business with<br/>you again.",　,あら、ヴァンじゃない。 毎度ご利用どうも。,<C1>あら、ヴァンじゃない。<br/>毎度ご利用どうも。,,
system,1,2,　,Here's your delivery.,Here's your delivery.,　,ハイ、お届け物よ。,"<audio id=""v136_g2005""><source src=""talk/11/v136_g2005.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v136_g2005').play()"">ハイ、お届け物よ。</a>",,
system,1,3,　,Thanks for always shopping with me.,Thanks for always shopping with me.,　,ご贔屓ありがとね。,"<audio id=""v136_g2006""><source src=""talk/11/v136_g2006.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v136_g2006').play()"">ご贔屓ありがとね。</a>",,
system,1,4,　,Hope to see you again real soon.,Hope to see you again real soon.,　,じゃ、また連絡待ってるわね。,じゃ、また連絡待ってるわね。,,
system,2,5,,Use   at a charging station to create powerful weapons.,Use <br/> at a charging station to create powerful weapons.,,回復装置で『{CC_ITEM=ITM_USE_MATERIAL_02}』を使用すると 強力な武器を作成することができます。,<C1>回復装置で『{CC_ITEM=ITM_USE_MATERIAL_02}』を使用すると<br/>強力な武器を作成することができます。,,
system,3,6,,Press  to use healing arts.,Press  to use healing arts.,,で回復アーツを使用できます。</C>,<s30><s24><C1>で回復アーツを使用できます。</C>,,
system,3,7,,Press  to change holo cores.,Press  to change holo cores.,,でホロウコアを変更できます。</C>,<s30><s24><C1>でホロウコアを変更できます。</C>,,
system,4,8,,Event activation when choosing map jump location,Event activation when choosing map jump location,,今は見ることができません。,<C1>今は見ることができません。,,
system,5,9,,Cannot be viewed.,Cannot be viewed.,,を使いますか？,<C1>を使いますか？,,
system,5,10,,Use  ?,Use <br/>?,,{CC_ITEM=ITEM_RECIPE_01}に目を通した。,<C1>{CC_ITEM=ITEM_RECIPE_01}に目を通した。,,
system,5,11,,Glanced through  .,Glanced through <br/>.,,ヴァンが{CC_ITEM=ITEM_SELFCOOK_02}のレシピを閃いた！,<C1>ヴァンが{CC_ITEM=ITEM_SELFCOOK_02}のレシピを閃いた！,,
system,5,12,,Van learned the recipe for  !,Van learned the recipe for <br/>!,,{CC_ITEM=ITEM_RECIPE_02}に目を通した。,<C1>{CC_ITEM=ITEM_RECIPE_02}に目を通した。,,
system,5,13,,Glanced through  .,Glanced through <br/>.,,ヴァンが{CC_ITEM=ITEM_SELFCOOK_03}のレシピを閃いた！,<C1>ヴァンが{CC_ITEM=ITEM_SELFCOOK_03}のレシピを閃いた！,,
system,5,14,,Van learned the recipe for  !,Van learned the recipe for <br/>!,,{CC_ITEM=ITEM_RECIPE_03}に目を通した。,<C1>{CC_ITEM=ITEM_RECIPE_03}に目を通した。,,
system,5,15,,Glanced through  .,Glanced through <br/>.,,アニエスが{CC_ITEM=ITEM_SELFCOOK_04}のレシピを閃いた！,<C1>アニエスが{CC_ITEM=ITEM_SELFCOOK_04}のレシピを閃いた！,,
system,5,16,,Agnès learned the recipe for  !,Agnès learned the recipe for <br/>!,,{CC_ITEM=ITEM_RECIPE_04}に目を通した。,<C1>{CC_ITEM=ITEM_RECIPE_04}に目を通した。,,
system,5,17,,Glanced through  .,Glanced through <br/>.,,アニエスが{CC_ITEM=ITEM_SELFCOOK_05}のレシピを閃いた！,<C1>アニエスが{CC_ITEM=ITEM_SELFCOOK_05}のレシピを閃いた！,,
system,5,18,,Agnès learned the recipe for  !,Agnès learned the recipe for <br/>!,,{CC_ITEM=ITEM_RECIPE_05}に目を通した。,<C1>{CC_ITEM=ITEM_RECIPE_05}に目を通した。,,
system,5,19,,Glanced through  .,Glanced through <br/>.,,アニエスが{CC_ITEM=ITEM_SELFCOOK_06}のレシピを閃いた！,<C1>アニエスが{CC_ITEM=ITEM_SELFCOOK_06}のレシピを閃いた！,,
system,5,20,,Agnès learned the recipe for  !,Agnès learned the recipe for <br/>!,,{CC_ITEM=ITEM_RECIPE_06}に目を通した。,<C1>{CC_ITEM=ITEM_RECIPE_06}に目を通した。,,
system,5,21,,Glanced through  .,Glanced through <br/>.,,フェリが{CC_ITEM=ITEM_SELFCOOK_07}のレシピを閃いた！,<C1>フェリが{CC_ITEM=ITEM_SELFCOOK_07}のレシピを閃いた！,,
system,5,22,,Feri learned the recipe for  !,Feri learned the recipe for <br/>!,,{CC_ITEM=ITEM_RECIPE_07}に目を通した。,<C1>{CC_ITEM=ITEM_RECIPE_07}に目を通した。,,
system,5,23,,Glanced through  .,Glanced through <br/>.,,フェリが{CC_ITEM=ITEM_SELFCOOK_08}のレシピを閃いた！,<C1>フェリが{CC_ITEM=ITEM_SELFCOOK_08}のレシピを閃いた！,,
system,5,24,,Feri learned the recipe for  !,Feri learned the recipe for <br/>!,,{CC_ITEM=ITEM_RECIPE_08}に目を通した。,<C1>{CC_ITEM=ITEM_RECIPE_08}に目を通した。,,
system,5,25,,Glanced through  .,Glanced through <br/>.,,アーロンが{CC_ITEM=ITEM_SELFCOOK_09}のレシピを閃いた！,<C1>アーロンが{CC_ITEM=ITEM_SELFCOOK_09}のレシピを閃いた！,,
system,5,26,,Aaron learned the recipe for  !,Aaron learned the recipe for <br/>!,,{CC_ITEM=ITEM_RECIPE_09}に目を通した。,<C1>{CC_ITEM=ITEM_RECIPE_09}に目を通した。,,
system,5,27,,Glanced through  .,Glanced through <br/>.,,アーロンが{CC_ITEM=ITEM_SELFCOOK_10}のレシピを閃いた！,<C1>アーロンが{CC_ITEM=ITEM_SELFCOOK_10}のレシピを閃いた！,,
system,5,28,,Aaron learned the recipe for  !,Aaron learned the recipe for <br/>!,,{CC_ITEM=ITEM_RECIPE_10}に目を通した。,<C1>{CC_ITEM=ITEM_RECIPE_10}に目を通した。,,
